Control Number,File Name,File Extension,File Type Category,File Size (bytes),MD5 Hash,SHA256 Hash,Custodian,Custodian Email,Custodian Department,Custodian Org,Narrative Phase,Narrative Phase Name,Processing Folder Path,Virtual Path,Container ID,Container Name,Level,Primary Date,Sort Date,Language,Has Images,Has Natives,OCR Flag,Supported by Viewer,Extracted Text Preview,Images?,OCR Required?,Native Produced?,Redactable?,Analytics Eligible?,Dedup Method,Workflow Stage,Cull Reason,Processing Status,Processing Error Type,Duplicate Spare,ECA Exclusion Reason,Batch Name,Batch Status,Reviewer,Date First Assigned,Responsiveness,Privilege,Privilege Reason,Hot Doc,Issue Tags,Bates Begin,Bates End,Page Count,Production Set,Bates Prefix,Redacted,Redaction Reason,TAR Score,AL Predicted Relevant,Email From,Email From SMTP,Email To,Email To SMTP,Email CC,Email CC SMTP,Email BCC,Email BCC SMTP,Email Subject,Message ID,In Reply To,Date Sent,Date Received,Conversation Topic,Conversation Index,Has Attachments,Attachment Count,Email Thread ID,Email Threading Inclusive,Importance,Parent Document ID,Family ID,Author,Last Modified By,Date Created,Date Last Modified,Title,Company,Word Count,Slide Count,Sheet Names,PDF Author,PDF Creator,PDF Producer,PDF Page Count,Is Encrypted,Is Form,Rsmf/Application,Rsmf/Participants,Rsmf/MessageCount,Rsmf/BeginDate,Rsmf/EndDate,Rsmf/EventCollectionId,Rsmf/HasPlaceholders,Camera Make,Camera Model,Date Taken,GPS Latitude,GPS Longitude,GPS Altitude,GoogleDrive/DocID,GoogleDrive/DocumentType,GoogleDrive/SharedDriveID,Record Type
DOC-0000388,RE: DOJ Civil Investigation — Insys Reim.msg,msg,Email - MSG,297574,3b1ba7235ca9bc53fa3bc921c4844743,71ec02ad3db538c9b16d3da71d8bf69bf8ef0017bf89444e5097ce4674b0b243,Dr. Alec Harrington,alec.harrington@insysrx.com,Sales,Insys,3,Crisis,\\Collection\Dr._Alec_Harrington\2015\08,Insys\Dr._Alec_Harrington\Email - MSG\DOC-0000388.msg,,,1,2015-08-18 00:00:00,2015-08-18 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] RE: DOJ Civil Investigation — Insys Reimbursement Center — Dr. Alec Harrington 2015-08-18,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,Domain Excluded - Opposing Counsel,,,,,,,,No,,,,3,,INSYS,No,,,,Dr. Alec Harrington,alec.harrington@insysrx.com,Gregory Nash,gregory.nash@mallinckrodt.com,,,,,RE: Compliance Escalation — Mid-Atlantic Order Patterns,<f525d556bb98abdf.e1568ad3@mallinckrodt.com>,<34885a4690882eaf.11906f50@mallinckrodt.com>,2015-08-18 00:00:00,2015-08-18 00:30:00,RE: DOJ Civil Investigation — Insys Reimbursement Center,5a1ba9db146691895ca43e7168f0e5f2,Yes,1,THR-000027,Yes,Normal,DOC-0000039,FAM-000203,,,2015-08-18,,,Insys Therapeutics,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000497,RE: Ohio AG Subpoena — Opioid Sales Prac.msg,msg,Email - MSG,74027,6eb7808b7f572473098364e307a76739,e5bc89c093a69684036599fcf91070e02cce4cce6994a2ca7738381cd498736f,Lisa Torres,lisa.torres@mallinckrodt.com,Administration,Mallinckrodt,3,Crisis,\\Collection\Lisa_Torres\2015\06,Mallinckrodt\Lisa_Torres\Email - MSG\DOC-0000497.msg,,,1,2015-06-28 00:00:00,2015-06-28 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] RE: Ohio AG Subpoena — Opioid Sales Practices — Response Coordination — Lisa Torres 2015-06-28,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,Date Out of Range,,,,,,,,No,,,,4,,MNK,No,,,,Lisa Torres,lisa.torres@mallinckrodt.com,Sarah Chen,sarah.chen@mallinckrodt.com,,,,,RE: Ohio AG Subpoena — Opioid Sales Practices — Response Coordination,<a81798500b45cb04.10217062@mallinckrodt.com>,,2015-06-28 00:00:00,2015-06-28 00:07:00,RE: Ohio AG Subpoena — Opioid Sales Practices — Response Coordination,47e402c5e05a2a8ac5001e3ef59d2194,No,0,,Yes,Normal,,FAM-000048,,,2015-06-28,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000656,FW: IRC Payer Response — CVS Health — Pr.eml,eml,Email - EML,20637,4cedc55b41365c29c881464bc3585cfb,3243cee9facd64f1643a68986e75d006f71eb55d70e3c1530942f1cda7f16425,Dr. Alec Harrington,alec.harrington@insysrx.com,Sales,Insys,2,Pressure,\\Collection\Dr._Alec_Harrington\2014\02,Insys\Dr._Alec_Harrington\Email - EML\DOC-0000656.eml,,,1,2014-02-07 00:00:00,2014-02-07 00:00:00,English,Yes,Yes,No,Yes,[Email - EML] FW: IRC Payer Response — CVS Health — Prior Auth Approval — Dr. Alec Harrington 2014-02-07,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,System File,,,,,,,,No,,,,5,,INSYS,No,,,,Dr. Alec Harrington,alec.harrington@insysrx.com,Robert Ashton,robert.ashton@mallinckrodt.com,,,,,FW: IRC Payer Response — CVS Health — Prior Auth Approval,<4e6120f3af52d77c.9acaf159@mallinckrodt.com>,,2014-02-07 00:00:00,2014-02-07 00:02:00,FW: IRC Payer Response — CVS Health — Prior Auth Approval,39873b7fb79fa51d3045c38cc52c7f93,Yes,4,THR-000153,No,Normal,,FAM-000329,,,2014-02-07,,,Insys Therapeutics,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000189,RE: Crisis Communications Plan — Opioid .msg,msg,Email - MSG,238899,fab0a15d4a5d6ceab565f64e3b93a53f,1e30614fcbf6aa23a01e31f57702beba0623ffbf1e42d2b800679b62318cd979,Robert Ashton,robert.ashton@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Robert_Ashton\2016\12,Mallinckrodt\Robert_Ashton\Email - MSG\DOC-0000189.msg,,,1,2016-12-24 00:00:00,2016-12-24 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] RE: Crisis Communications Plan — Opioid Media Inquiries — Robert Ashton 2016-12-24,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,File Type Excluded,,,,,,,,No,,,,2,,MNK,No,,,,Robert Ashton,robert.ashton@mallinckrodt.com,Ohio AG Office,inquiry@ag.state.us,,,,,RE: Crisis Communications Plan — Opioid Media Inquiries,<d91b1a04bccaba38.3513a238@mallinckrodt.com>,,2016-12-24 00:00:00,2016-12-24 00:16:00,RE: Crisis Communications Plan — Opioid Media Inquiries,6a25542effbd9cdd9d84d303ccb03fc5,No,0,THR-000108,No,High,,FAM-000284,,,2016-12-24,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000581,FW: SOM Archive Cleanup — June 2014.msg,msg,Email - MSG,223977,07d7a39309cf106391b6aa0174e60f83,c743d9f12d08413f8ab171e0e6571d384793acb12afcc87e1ff49019ac4a7701,Patricia Morrison,patricia.morrison@mallinckrodt.com,Marketing,Mallinckrodt,3,Crisis,\\Collection\Patricia_Morrison\2016\11,Mallinckrodt\Patricia_Morrison\Email - MSG\DOC-0000581.msg,,,1,2016-11-28 00:00:00,2016-11-28 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] FW: SOM Archive Cleanup — June 2014 — Patricia Morrison 2016-11-28,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,File Type Excluded,,,,,,,,No,,,,5,,MNK,No,,,,Patricia Morrison,patricia.morrison@mallinckrodt.com,FDA CDER,cder@fda.hhs.gov,,,,,RE: SOM Records Preservation — February 2015 — Legal Hold Reminder,<57b6b27cbf18d74a.da3c3beb@mallinckrodt.com>,<e1721c83ef5e4376.e0decc3d@mallinckrodt.com>,2016-11-28 00:00:00,2016-11-28 00:13:00,FW: SOM Archive Cleanup — June 2014,2ebbfe0a404f04e444b0c7975fe1271f,Yes,4,THR-000065,No,High,DOC-0000069,FAM-000241,,,2016-11-28,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0001054,DOC-0001054.xlsx,xlsx,Office - Excel (XLSX),1418536,7acbbc8b07a523cbccfb9e475540e2e1,a335edb887b04e728cf74de16c9d65d4f3819e6bf88eb897dc115b328ea02003,Patricia Morrison,patricia.morrison@mallinckrodt.com,Marketing,Mallinckrodt,3,Crisis,\\Collection\Patricia_Morrison\2015\01,Mallinckrodt\Patricia_Morrison\Office - Excel (XLSX)\DOC-0001054.xlsx,,,1,2016-06-19 00:00:00,2016-06-19 00:00:00,English,No,Yes,No,Yes,[Office - Excel (XLSX)] State AG — Multistate Coordination — Settlement Framework — Patricia Morrison 2015-01-11,Yes,No,Yes,Image Only,Yes,SHA256,ECA: Excluded,,Complete,,No,No Keyword Hits,,,,,,,,No,,,,3,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,DOC-0000119,FAM-000106,Patricia Morrison,Patricia Morrison,2015-01-11,2015-02-10,State AG — Multistate Coordination — Settlement Framework,Mallinckrodt Inc.,,,Sheet1; Sheet2,,,,,No,,,,0,,,,No,,,,,,,,,,Attachment
DOC-0000773,FW: Compliance Escalation — Southeast Or.eml,eml,Email - EML,162230,3ee05165383819b8932e02cc159b61c3,290ade9e226c8bcc2d7997059e83094889eb14e833671e1cc354fc525ee88627,Thomas Bradley,thomas.bradley@mallinckrodt.com,Legal & Compliance,Mallinckrodt,2,Pressure,\\Collection\Thomas_Bradley\2013\12,Mallinckrodt\Thomas_Bradley\Email - EML\DOC-0000773.eml,,,1,2013-12-17 00:00:00,2013-12-17 00:00:00,English,Yes,Yes,No,Yes,[Email - EML] FW: Compliance Escalation — Southeast Order Patterns — Thomas Bradley 2013-12-17,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,System File,,,,,,,,No,,,,1,,MNK,No,,,,Thomas Bradley,thomas.bradley@mallinckrodt.com,Sarah Chen,sarah.chen@mallinckrodt.com,,,,,FW: Compliance Escalation — Southeast Order Patterns,<d61b4a7d4c41c603.76b3c18e@mallinckrodt.com>,,2013-12-17 00:00:00,2013-12-17 00:20:00,FW: Compliance Escalation — Southeast Order Patterns,9785db5af31b74f8163b600117f931b6,No,0,,Yes,Normal,,FAM-000136,,,2013-12-17,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000703,RE: SOM Records Preservation — September.eml,eml,Email - EML,114913,8e382a3d92b8ef908a24cbe1e0941981,4e1c6d6a7b82ff4c547304460a88bdd7cdf392f9aa6cfab9dffbad3730a0d16d,Thomas Bradley,thomas.bradley@mallinckrodt.com,Legal & Compliance,Mallinckrodt,3,Crisis,\\Collection\Thomas_Bradley\2015\02,Mallinckrodt\Thomas_Bradley\Email - EML\DOC-0000703.eml,,,1,2015-02-10 00:00:00,2015-02-10 00:00:00,English,Yes,Yes,No,Yes,[Email - EML] RE: SOM Records Preservation — September 2013 — Legal Hold Reminder — Thomas Bradley 2015-02-10,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,No Keyword Hits,,,,,,,,No,,,,2,,MNK,No,,,,Thomas Bradley,thomas.bradley@mallinckrodt.com,Ohio AG Office,inquiry@ag.state.us,,,,,RE: SOM Records Preservation — September 2013 — Legal Hold Reminder,<d096f682aab09b08.8a759c6e@mallinckrodt.com>,,2015-02-10 00:00:00,2015-02-10 00:04:00,RE: SOM Records Preservation — September 2013 — Legal Hold Reminder,985235359e6d3d623ca97d028d129c6c,Yes,4,THR-000029,No,Normal,,FAM-000205,,,2015-02-10,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000457,FW: Compliance Escalation — Midwest Orde.msg,msg,Email - MSG,198812,65e171462d8b62b689cb09aa8f56fffc,9914857db62fb6ee172dc64717e6ae9932d8bc2913707fcbb21534f79e541d3e,Patricia Morrison,patricia.morrison@mallinckrodt.com,Marketing,Mallinckrodt,2,Pressure,\\Collection\Patricia_Morrison\2014\12,Mallinckrodt\Patricia_Morrison\Email - MSG\DOC-0000457.msg,,,1,2014-12-26 00:00:00,2014-12-26 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] FW: Compliance Escalation — Midwest Order Patterns — Patricia Morrison 2014-12-26,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,Date Out of Range,,,,,,,,No,,,,5,,MNK,No,,,,Patricia Morrison,patricia.morrison@mallinckrodt.com,Dr. Alec Harrington,alec.harrington@insysrx.com,,,,,RE: SOM Flag — Cardinal Health — Business Justification Required,<e07eaf26ea299a22.a9c6d4e3@mallinckrodt.com>,<a62683ed6070e32e.c2d3d967@mallinckrodt.com>,2014-12-26 00:00:00,2014-12-26 00:10:00,FW: Compliance Escalation — Midwest Order Patterns,2550e249436c3827da2a5b5f67964bd9,Yes,2,THR-000120,Yes,Low,DOC-0000790,FAM-000296,,,2014-12-26,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000827,DOC-0000827.docx,docx,Office - Word (DOCX),300117,964a852cfb1ee55a37b3ef4dece136fe,d6b14c5a930655b3bfa1bbd97c01fb86adec93dc921b8d2ac5239ccab2f089b9,Michael Brennan,michael.brennan@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Michael_Brennan\2016\01,Mallinckrodt\Michael_Brennan\Office - Word (DOCX)\DOC-0000827.docx,,,1,2016-01-01 00:00:00,2016-01-01 00:00:00,English,No,Yes,No,Yes,[Office - Word (DOCX)] Whistleblower Response Protocol — 2013 — Michael Brennan 2016-01-01,Yes,No,Yes,Image Only,Yes,SHA256,ECA: Excluded,,Complete,,No,No Keyword Hits,,,,,,,,No,,,,17,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,,,Michael Brennan,Michael Brennan,2016-01-01,2016-01-18,Whistleblower Response Protocol — 2013,Mallinckrodt Inc.,6000,,,,,,,No,,,,0,,,,No,,,,,,,,,,EDoc
DOC-0000271,CONFIDENTIAL — Response to CVS Health Fr.msg,msg,Email - MSG,143535,ffce50b36151bd93ae1455f4d6e8aad3,4804044c82a4e22ed737145095ccfda236770e04a1d8507bd7aa0f8359f6864d,Michael Brennan,michael.brennan@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Michael_Brennan\2016\01,Mallinckrodt\Michael_Brennan\Email - MSG\DOC-0000271.msg,,,1,2016-01-18 00:00:00,2016-01-18 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] CONFIDENTIAL — Response to CVS Health Fraud Investigation Inquiry — Michael Brennan 2016-01-18,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,Domain Excluded - Personal,,,,,,,,No,,,,3,,MNK,No,,,,Michael Brennan,michael.brennan@mallinckrodt.com,Lisa Torres,lisa.torres@mallinckrodt.com,,,,,RE: Internal Investigation Update — SOM Override Findings,<295294200ba4e32b.bd3b17eb@mallinckrodt.com>,<a60c13290c941263.61ecff07@mallinckrodt.com>,2016-01-18 00:00:00,2016-01-18 00:02:00,CONFIDENTIAL — Response to CVS Health Fraud Investigation Inquiry,4cf6a29711e7465690261d4c88ba135e,No,0,THR-000089,Yes,Normal,DOC-0000361,FAM-000265,,,2016-01-18,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000851,DOC-0000851.docx,docx,Office - Word (DOCX),47700,5db58cdc7f8b4f9ff1e52e8895111968,ab5b2ca1b40b858fe8f68c8199f6a8932900b3a7eac04858b4d7d74873f833d3,Patricia Morrison,patricia.morrison@mallinckrodt.com,Marketing,Mallinckrodt,3,Crisis,\\Collection\Patricia_Morrison\2016\03,Mallinckrodt\Patricia_Morrison\Office - Word (DOCX)\DOC-0000851.docx,,,1,2016-11-28 00:00:00,2016-11-28 00:00:00,English,No,Yes,No,Yes,[Office - Word (DOCX)] Ohio AG Subpoena Response — Draft v8 — Patricia Morrison 2016-03-13,Yes,No,Yes,Image Only,Yes,SHA256,ECA: Excluded,,Complete,,No,Domain Excluded - Opposing Counsel,,,,,,,,No,,,,12,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,DOC-0000581,FAM-000241,Patricia Morrison,Patricia Morrison,2016-03-13,2016-03-17,Ohio AG Subpoena Response — Draft v8,Mallinckrodt Inc.,5627,,,,,,,No,,,,0,,,,No,,,,,,,,,,Attachment
DOC-0000506,FW: State AG Investigation — Southwest —.msg,msg,Email - MSG,27640,3b749fd20a2d6f038f464f341da85583,02dd95c264058e04b393cb2dbf23f095221a5dd04ce3492325bb2b7a33d3958a,Thomas Bradley,thomas.bradley@mallinckrodt.com,Legal & Compliance,Mallinckrodt,3,Crisis,\\Collection\Thomas_Bradley\2015\05,Mallinckrodt\Thomas_Bradley\Email - MSG\DOC-0000506.msg,,,1,2015-05-21 00:00:00,2015-05-21 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] FW: State AG Investigation — Southwest — Document Preservation — Thomas Bradley 2015-05-21,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,No Keyword Hits,,,,,,,,No,,,,2,,MNK,No,,,,Thomas Bradley,thomas.bradley@mallinckrodt.com,Sarah Chen,sarah.chen@mallinckrodt.com,,,,,FW: State AG Investigation — Southwest — Document Preservation,<0f5bc40c5f321f6d.829c34f7@mallinckrodt.com>,,2015-05-21 00:00:00,2015-05-21 00:16:00,FW: State AG Investigation — Southwest — Document Preservation,8649c4c31cdd5a61031d45fcc9c01379,No,0,,Yes,Normal,,FAM-000132,,,2015-05-21,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0001115,DOC-0001115.xls,xls,Office - Excel (XLS),786298,ac651eb4d460f4be40ddcb1e784f515d,b2bc63449cf2495b7d745b8c29009faab76a9338ae8f95256fd5a20411c13bae,Patricia Morrison,patricia.morrison@mallinckrodt.com,Marketing,Mallinckrodt,2,Pressure,\\Collection\Patricia_Morrison\2013\12,Mallinckrodt\Patricia_Morrison\Office - Excel (XLS)\DOC-0001115.xls,,,1,2015-08-16 00:00:00,2015-08-16 00:00:00,English,No,Yes,No,Yes,[Office - Excel (XLS)] SOM Flag Exception Documentation — Walgreens — January 2016 — Patricia Morrison 2013-12-24,Yes,No,Yes,Image Only,Yes,SHA256,ECA: Excluded,,Complete,,No,No Keyword Hits,,,,,,,,No,,,,5,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,DOC-0000394,FAM-000325,Patricia Morrison,Patricia Morrison,2013-12-24,2014-01-06,SOM Flag Exception Documentation — Walgreens — January 2016,Mallinckrodt Inc.,,,Sheet1; Sheet2,,,,,No,,,,0,,,,No,,,,,,,,,,Attachment
DOC-0001294,DOC-0001294.rsmf,rsmf,Chat - Slack (RSMF),197746,4ee9c3bf55ecb00dae690e2b1d9a06fd,7fc779bead099361776f7ad6f70e6207d562ab4a188b425b9e5b075bad8632d1,Michael Brennan,michael.brennan@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Michael_Brennan\2016\10,Mallinckrodt\Michael_Brennan\Chat - Slack (RSMF)\DOC-0001294.rsmf,,,1,2015-01-23 00:00:00,2015-01-23 00:00:00,English,No,Yes,No,Yes,[Chat - Slack (RSMF)]  — Michael Brennan 2016-10-23,Yes,No,No,Image Only,Yes,EventCollectionId,ECA: Excluded,,Complete,,No,System File,,,,,,,,No,,,,1,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,DOC-0000414,FAM-000245,,,2016-10-23,,,Mallinckrodt Inc.,,,,,,,,No,,Slack,Michael Brennan; Lisa Torres; Gregory Nash; Thomas Bradley,103,2016-10-23 00:00:00,2016-10-24 08:00:00,01d2289d778717d3,No,,,,,,,,,,Attachment
DOC-0000809,DOC-0000809.ics,ics,Calendar - ICS,5651,ad994f15786b1196e7ad053899c23641,474cd1a1b60f1d695d050f7045cb86d6f3b480097a37593d79de557601cb6f78,Patricia Morrison,patricia.morrison@mallinckrodt.com,Marketing,Mallinckrodt,2,Pressure,\\Collection\Patricia_Morrison\2014\11,Mallinckrodt\Patricia_Morrison\Calendar - ICS\DOC-0000809.ics,,,1,2014-11-05 00:00:00,2014-11-05 00:00:00,English,No,Yes,No,Yes,[Calendar - ICS] RE: Xartemis XR Sales Incentive Acceleration — 2016 Plan — Patricia Morrison 2014-11-05,Yes,No,Yes,Image Only,Yes,SHA256,ECA: Excluded,,Complete,,No,Date Out of Range,,,,,,,,No,,,,2,,MNK,No,,,,,,,,,,,,RE: Xartemis XR Sales Incentive Acceleration — 2016 Plan,,,,,,,No,0,,,,,,,,2014-11-05,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,EDoc
DOC-0001176,DOC-0001176.pdf,pdf,PDF - Text,337969,9f97fa5baf84add6c463190a99cfc5aa,6a7fae108bff53886d71e2167630b50de47a78f42d07d2e3b120a7ef6eb21dcc,Sarah Chen,sarah.chen@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Sarah_Chen\2016\01,Mallinckrodt\Sarah_Chen\PDF - Text\DOC-0001176.pdf,,,1,2013-09-01 00:00:00,2013-09-01 00:00:00,English,Yes,Yes,No,Yes,[PDF - Text]  — Sarah Chen 2016-01-11,Yes,No,Yes,Image Only,Yes,SHA256,ECA: Excluded,,Complete,,No,Date Out of Range,,,,,,,,No,,,,7,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,DOC-0000116,FAM-000278,,,2016-01-11,,,Mallinckrodt Inc.,,,,Sarah Chen,Microsoft Word,Adobe PDF Library,7,No,No,,,0,,,,No,,,,,,,,,,Attachment
DOC-0000034,FW: McKinsey Internal — Opioid Client Ex.msg,msg,Email - MSG,67694,2e183554cae28e66ae8a781390e0a95b,aee1e86b9ea556aa61ee6c5bdeef580f9c07a751143745092cd1586a2b840c67,Bradley Tevelow,bradley.tevelow@mckinsey.com,Healthcare Practice,McKinsey,2,Pressure,\\Collection\Bradley_Tevelow\2014\03,McKinsey\Bradley_Tevelow\Email - MSG\DOC-0000034.msg,,,1,2014-03-21 00:00:00,2014-03-21 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] FW: McKinsey Internal — Opioid Client Exposure Review — Bradley Tevelow 2014-03-21,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,File Type Excluded,,,,,,,,No,,,,2,,MCK,No,,,,Bradley Tevelow,bradley.tevelow@mckinsey.com,Thomas Bradley,thomas.bradley@mallinckrodt.com,,,,,FW: McKinsey Internal — Opioid Client Exposure Review,<7f671eec3da70577.e9af299d@mallinckrodt.com>,,2014-03-21 00:00:00,2014-03-21 00:14:00,FW: McKinsey Internal — Opioid Client Exposure Review,760debbb3b70b3a124a35cf29549c931,No,0,,Yes,Normal,,FAM-000097,,,2014-03-21,,,McKinsey & Company,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000674,RE: Crisis Communications Plan — Opioid .eml,eml,Email - EML,84131,6f6d18c6c33433e0aa566d798b75190c,ec6123eb733c4dee97d4798672a4bac6928888f64c38f15a66a247b77f14d81c,Patricia Morrison,patricia.morrison@mallinckrodt.com,Marketing,Mallinckrodt,3,Crisis,\\Collection\Patricia_Morrison\2016\01,Mallinckrodt\Patricia_Morrison\Email - EML\DOC-0000674.eml,,,1,2016-01-23 00:00:00,2016-01-23 00:00:00,English,Yes,Yes,No,Yes,[Email - EML] RE: Crisis Communications Plan — Opioid Media Inquiries — Patricia Morrison 2016-01-23,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,Domain Excluded - Opposing Counsel,,,,,,,,No,,,,4,,MNK,No,,,,Patricia Morrison,patricia.morrison@mallinckrodt.com,Lisa Torres,lisa.torres@mallinckrodt.com,,,,,RE: Crisis Communications Plan — Opioid Media Inquiries,<e28323794f3c0388.f0e52458@mallinckrodt.com>,,2016-01-23 00:00:00,2016-01-23 00:18:00,RE: Crisis Communications Plan — Opioid Media Inquiries,3388cf1bd0f383cd6b77548916ca7742,No,0,,Yes,Normal,,FAM-000067,,,2016-01-23,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0001008,DOC-0001008.doc,doc,Office - Word (DOC),174580,d8e1fe325bce01c4c87e332c6b23686b,662dffb1cdfd1fe9f461eef8737ee7e5437414db7a239fffe2ebb14a4ce95e09,Robert Ashton,robert.ashton@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Robert_Ashton\2016\10,Mallinckrodt\Robert_Ashton\Office - Word (DOC)\DOC-0001008.doc,,,1,2016-10-19 00:00:00,2016-10-19 00:00:00,English,No,Yes,No,Yes,[Office - Word (DOC)] Congressional Hearing Preparation — Pennsaid Sales — Robert Ashton 2016-10-19,Yes,No,Yes,Image Only,Yes,SHA256,ECA: Excluded,,Complete,,No,File Type Excluded,,,,,,,,No,,,,1,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,,,Robert Ashton,Robert Ashton,2016-10-19,2016-11-10,Congressional Hearing Preparation — Pennsaid Sales,Mallinckrodt Inc.,5172,,,,,,,No,,,,0,,,,No,,,,,,,,,,EDoc
DOC-0000305,RE: Congressional Inquiry — Opioid Distr.msg,msg,Email - MSG,284963,cb40fcdd9cd2da08bd3c83c3667139de,79e3202eee4bd350f104ad27ee75b34ef067dba16d8bebc3592c6a0e14d49d3a,Sarah Chen,sarah.chen@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Sarah_Chen\2016\11,Mallinckrodt\Sarah_Chen\Email - MSG\DOC-0000305.msg,,,1,2016-11-05 00:00:00,2016-11-05 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] RE: Congressional Inquiry — Opioid Distribution Practices — Sarah Chen 2016-11-05,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,Domain Excluded - Opposing Counsel,,,,,,,,No,,,,2,,MNK,No,,,,Sarah Chen,sarah.chen@mallinckrodt.com,Lisa Torres,lisa.torres@mallinckrodt.com,,,,,RE: DEA Administrative Subpoena — Production Deadline July 2016,<a888e7affca39bae.db6ae7db@mallinckrodt.com>,<abc44f76171827df.bf79dcb6@mallinckrodt.com>,2016-11-05 00:00:00,2016-11-05 00:22:00,RE: Congressional Inquiry — Opioid Distribution Practices,bbf9a04b19b7775fe7bb5e42b3126a11,No,0,THR-000023,No,High,DOC-0000634,FAM-000199,,,2016-11-05,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0001172,DOC-0001172.ppt,ppt,Office - PowerPoint (PPT),703323,cdc7dea30f5eed862620c92b51d5db5f,a173eba1793cd1d922b089c7aa310ee0ce8c9c65ca1c25930a550b84345abbc9,Michael Brennan,michael.brennan@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Michael_Brennan\2016\04,Mallinckrodt\Michael_Brennan\Office - PowerPoint (PPT)\DOC-0001172.ppt,,,1,2016-04-09 00:00:00,2016-04-09 00:00:00,English,Yes,Yes,No,Yes,[Office - PowerPoint (PPT)] Whistleblower Response Protocol — 2015 — Michael Brennan 2016-04-09,Yes,No,Yes,Image Only,Yes,SHA256,ECA: Excluded,,Complete,,No,File Type Excluded,,,,,,,,No,,,,10,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,,,Michael Brennan,Michael Brennan,2016-04-09,2016-04-21,Whistleblower Response Protocol — 2015,Mallinckrodt Inc.,,44,,,,,,No,,,,0,,,,No,,,,,,,,,,EDoc
